user,item,score,context,value
1,3,5,b,0.762
12,4,2,d,0.870
7,10,5,b,0.293
19,2,1,b,0.495
11,1,4,d,0.327
2,7,2,c,0.827
12,3,2,b,0.032
14,7,5,b,0.650
16,9,3,d,0.406
6,7,2,c,0.677
19,9,4,b,0.169
1,5,4,b,0.638
6,6,4,a,0.645
4,1,3,c,0.591
11,3,4,d,0.269
3,1,3,c,0.735
15,2,1,d,0.160
13,2,1,c,0.422
17,7,3,c,0.219
11,6,1,d,0.931
4,8,1,a,0.057
14,4,4,c,0.612
4,5,5,c,0.118
18,3,4,d,0.345
14,1,5,d,0.429
18,9,4,a,0.820
20,9,4,a,0.203
18,10,4,a,0.293
9,4,3,a,0.304
15,10,3,b,0.982
3,10,2,b,0.407
4,2,3,d,0.015
2,3,1,a,0.442
11,3,5,d,0.436
11,5,1,d,0.609
14,8,5,a,0.540
18,7,3,b,0.277
3,4,2,b,0.617
6,4,1,d,0.791
4,3,5,c,0.562
2,2,1,d,0.379
8,10,2,d,0.671
11,10,5,a,0.222
11,6,1,d,0.219
13,8,4,a,0.937
11,6,1,b,0.212
11,4,1,c,0.613
10,10,2,b,0.743
8,3,4,b,0.183
5,6,2,d,0.721
9,3,3,a,0.327
14,6,4,d,0.098
16,3,3,d,0.134
6,6,4,a,0.794
17,10,3,a,0.260
17,2,5,c,0.606
5,10,1,c,0.166
7,8,4,d,0.820
13,9,4,a,0.020
12,5,5,d,0.571
3,3,1,c,0.747
15,9,4,b,0.337
5,3,5,d,0.532
15,1,5,b,0.795
19,5,5,b,0.770
10,1,1,c,0.246
6,3,3,c,0.844
13,9,2,b,0.335
17,9,2,c,0.280
19,6,3,b,0.747
8,8,2,b,0.500
6,7,5,c,0.985
13,7,2,c,0.214
11,1,2,b,0.078
4,1,4,a,0.615
18,10,1,a,0.020
3,6,3,a,0.858
17,9,4,a,0.108
12,2,4,b,0.060
9,7,2,b,0.381
2,2,2,a,0.536
4,5,2,d,0.563
20,3,4,b,0.552
2,4,3,b,0.749
2,2,3,c,0.542
3,4,2,c,0.156
11,4,1,d,0.144
19,8,3,b,0.038
7,9,4,c,0.693
6,8,3,b,0.235
6,4,5,b,0.732
16,6,5,a,0.242
6,1,3,a,0.156
7,8,1,c,0.608
2,6,1,a,0.357
6,10,1,b,0.818
7,1,4,c,0.443
7,2,1,d,0.013
19,9,5,c,0.211
13,10,5,b,0.027
4,7,1,c,0.413
4,4,4,d,0.104
11,9,5,a,0.204
15,10,2,b,0.234
3,5,5,d,0.880
12,10,1,a,0.396
15,6,4,c,0.078
4,2,3,c,0.914
16,9,3,a,0.693
15,8,5,a,0.335
2,2,3,c,0.291
5,3,3,d,0.205
15,8,1,a,0.867
18,4,4,b,0.201
20,8,3,b,0.510
8,9,1,b,0.044
16,8,1,c,0.588
7,9,5,b,0.233
8,7,1,a,0.748
3,2,4,b,0.073
2,7,4,d,0.618
3,2,5,a,0.740
9,1,3,b,0.908
13,4,4,b,0.224
9,7,5,d,0.576
2,6,5,d,0.362
17,8,4,b,0.523
4,6,2,c,0.877
2,10,1,b,0.016
14,1,3,a,0.080
1,9,3,d,0.274
15,2,1,b,0.573
4,10,1,b,0.871
12,5,2,b,0.696
5,6,2,c,0.590
3,5,2,d,0.594
14,2,3,b,0.677
13,6,4,b,0.127
3,6,1,a,0.679
4,2,3,b,0.749
14,8,3,c,0.578
9,1,4,b,0.449
19,6,1,d,0.967
7,1,3,d,0.694
4,9,1,a,0.344
6,3,1,c,0.892
20,1,5,d,0.899
17,5,4,a,0.343
14,9,5,a,0.369
15,9,1,a,0.745
10,6,3,c,0.537
6,5,2,d,0.395
14,4,2,a,0.673
15,8,2,c,0.758
9,10,4,a,0.727
3,5,1,d,0.626
1,8,5,d,0.297
4,8,5,c,0.529
19,4,2,b,0.781
4,8,1,d,0.247
4,2,5,d,0.024
10,5,4,a,0.968
20,1,1,b,0.220
3,8,3,d,0.667
18,3,3,c,0.324
10,1,4,c,0.910
15,10,1,b,0.588
19,1,2,d,0.733
15,8,2,d,0.429
14,3,5,d,0.951
3,5,2,b,0.502
14,2,4,a,0.957
2,10,4,a,0.149
6,4,5,b,0.609
20,7,1,b,0.100
8,2,3,d,0.813
16,5,2,b,0.764
16,4,3,a,0.361
17,4,1,a,0.618
1,10,5,d,0.134
13,3,5,a,0.349
8,9,1,a,0.514
15,2,4,a,0.933
11,4,2,a,0.476
8,7,3,c,0.588
7,7,4,c,0.597
11,6,1,b,0.048
6,10,3,c,0.827
19,4,1,c,0.268
8,8,5,c,0.962
16,1,2,c,0.559
10,6,1,b,0.016
13,7,5,c,0.486
10,1,5,d,0.973
18,2,3,b,0.821
14,6,1,b,0.271
5,3,5,d,0.476
9,4,4,b,0.213
15,2,2,d,0.913
8,10,3,b,0.245
16,10,2,b,0.224
19,3,2,c,0.762
19,4,1,c,0.900
8,4,3,c,0.256
14,1,5,b,0.907
10,7,2,b,0.038
8,10,4,a,0.275
13,6,1,d,0.206
3,8,1,b,0.301
9,2,4,a,0.546
19,3,1,c,0.037
11,3,3,c,0.776
3,7,4,d,0.148
13,10,3,b,0.876
20,3,5,c,0.837
17,2,2,d,0.136
11,1,2,a,0.620
20,1,3,a,0.966
17,7,2,c,0.368
15,10,1,d,0.621
19,6,3,a,0.882
14,6,3,b,0.700
4,4,1,a,0.134
6,3,1,d,0.755
12,1,2,a,0.906
17,3,2,b,0.101
12,8,2,c,0.604
13,5,5,a,0.820
10,3,2,c,0.326
7,9,1,b,0.638
2,5,1,c,0.504
4,2,2,d,0.957
1,1,3,c,0.447
16,3,4,c,0.958
13,1,3,d,0.790
10,5,2,d,0.891
13,3,3,a,0.332
1,2,3,d,0.180
15,5,4,d,0.340
3,7,2,c,0.459
17,7,1,a,0.059
3,7,2,a,0.611
10,3,5,b,0.671
3,1,4,b,0.384
5,7,3,c,0.522
6,5,1,b,0.370
15,9,5,a,0.793
7,9,2,d,0.286
11,10,5,d,0.548
14,2,4,c,0.323
10,3,1,b,0.242
15,1,3,d,0.895
12,8,2,c,0.050
18,4,5,a,0.586
4,8,2,d,0.653
16,8,4,d,0.786
7,7,2,d,0.890
5,9,3,c,0.599
17,7,3,d,0.483
7,2,1,a,0.299
7,10,5,b,0.812
14,9,2,b,0.605
11,2,1,d,0.572
14,8,1,a,0.600
10,8,5,a,0.171
9,1,3,a,0.575
17,4,3,b,0.622
3,1,1,d,0.095
1,2,5,d,0.014
4,9,3,a,0.790
16,4,1,d,0.028
5,7,3,a,0.092
10,10,5,a,0.395
9,3,3,b,0.210
11,8,4,a,0.313
13,8,4,a,0.246
11,9,4,d,0.145
18,2,4,b,0.071
8,5,2,a,0.177
4,7,3,c,0.833
11,7,2,b,0.495
8,9,4,a,0.390
18,3,5,b,0.536
3,8,5,a,0.402
12,5,5,d,0.055
5,1,2,a,0.388
6,2,3,d,0.196
12,9,4,d,0.869
3,1,3,d,0.719
19,1,4,b,0.626
8,9,1,c,0.239
13,8,2,a,0.095
19,1,2,b,0.471
19,8,3,c,0.756
17,6,1,b,0.052
7,9,1,b,0.608
13,3,4,a,0.408
15,5,5,a,0.539
2,1,1,d,0.869
5,4,5,c,0.113
3,2,3,d,0.018
9,3,4,a,0.630
5,5,5,b,0.068
16,2,5,b,0.382
4,9,3,b,0.157
16,3,2,c,0.629
20,8,1,d,0.215
16,10,1,d,0.462
16,3,4,c,0.325
4,4,4,a,0.293
12,3,1,c,0.220
2,9,2,a,0.917
14,7,3,a,0.830
5,4,2,b,0.269
10,3,5,b,0.526
10,9,4,c,0.448
6,8,2,b,0.602
4,5,4,b,0.619
14,2,3,a,0.555
20,5,2,a,0.314
3,3,5,b,0.720
19,5,4,b,0.830
7,8,5,a,0.646
12,1,3,d,0.452
16,7,5,a,0.200
15,6,4,c,0.249
11,4,1,b,0.667
17,1,4,d,0.483
1,10,5,a,0.883
2,2,1,b,0.360
5,7,5,d,0.291
1,4,1,c,0.671
20,1,4,c,0.826
13,4,4,c,0.244
5,10,5,c,0.017
4,6,1,d,0.666
19,7,5,b,0.518
2,5,2,d,0.143
4,8,2,a,0.534
6,3,2,d,0.784
16,4,5,c,0.345
13,6,4,b,0.735
18,3,2,d,0.853
2,4,3,d,0.321
11,6,3,c,0.699
13,1,5,d,0.525
7,10,4,b,0.771
9,9,1,b,0.199
9,4,3,a,0.818
7,9,5,c,0.750
1,8,1,d,0.153
2,9,5,c,0.931
15,7,5,c,0.066
15,3,4,a,0.098
5,7,3,b,0.133
19,10,2,a,0.707
13,1,5,a,0.578
3,8,1,a,0.653
1,4,4,d,0.059
9,7,1,d,0.614
9,5,4,c,0.134
6,6,4,c,0.118
7,6,5,b,0.923
5,7,4,d,0.536
5,2,5,a,0.348
12,10,5,a,0.301
10,8,2,c,0.482
19,5,2,a,0.836
15,7,2,b,0.315
13,7,1,d,0.299
5,2,3,b,0.492
14,10,2,d,0.667
6,2,5,a,0.796
12,8,1,a,0.598
11,7,1,b,0.855
14,2,4,d,0.451
16,8,1,d,0.941
2,5,2,b,0.811
2,7,4,b,0.718
20,9,1,b,0.686
16,7,4,a,0.749
2,10,1,d,0.391
18,7,2,c,0.325
18,2,2,b,0.937
8,3,5,d,0.970
16,8,2,b,0.348
8,7,1,d,0.879
19,2,4,d,0.328
17,5,3,b,0.920
8,4,5,b,0.258
19,9,2,a,0.875
1,9,1,a,0.401
5,5,3,c,0.639
9,3,3,b,0.704
14,1,2,c,0.813
6,2,1,d,0.742
20,7,5,b,0.714
19,2,3,a,0.101
8,8,3,d,0.811
19,6,2,c,0.174
5,2,5,b,0.954
3,7,2,c,0.697
4,6,1,c,0.341
15,1,3,d,0.561
18,1,2,b,0.391
17,7,3,a,0.657
19,3,4,b,0.940
14,8,1,b,0.258
17,5,4,d,0.972
16,1,4,c,0.569
5,1,5,a,0.192
8,8,5,c,0.430
3,4,1,b,0.182
9,3,3,d,0.815
16,7,3,a,0.613
14,10,5,c,0.654
12,3,5,c,0.797
11,1,1,a,0.527
8,6,4,a,0.423
19,3,2,d,0.419
18,8,1,d,0.265
16,10,1,c,0.789
8,10,1,a,0.081
20,10,5,d,0.265
17,4,3,a,0.129
17,9,1,a,0.158
13,1,5,b,0.921
17,8,3,c,0.430
13,8,1,d,0.126
7,9,2,b,0.111
17,7,3,d,0.806
4,6,1,a,0.293
8,7,5,d,0.251
4,9,5,b,0.642
20,3,1,a,0.755
16,7,1,a,0.760
20,9,3,c,0.166
8,6,3,c,0.059
11,1,2,a,0.715
8,3,1,d,0.527
8,9,5,b,0.932
12,5,5,a,0.604
20,6,1,a,0.387
9,6,3,c,0.518
13,2,4,b,0.187
6,10,1,c,0.238
15,3,4,c,0.354
4,2,5,c,0.624
15,10,4,b,0.014
2,9,1,a,0.440
3,6,3,c,0.800
1,5,4,b,0.604
7,8,2,d,0.126
16,1,2,b,0.537
14,7,3,a,0.451
2,10,2,c,0.892
18,2,4,b,0.787
6,9,2,b,0.072
8,9,3,d,0.478
14,5,2,b,0.311
12,3,3,b,0.384
18,3,4,d,0.543
8,6,3,d,0.525
15,4,2,b,0.535
3,7,4,b,0.473
16,8,2,c,0.185
4,5,3,a,0.841
6,7,2,a,0.548
3,7,4,c,0.851
8,6,4,d,0.355
20,9,5,c,0.691
18,5,2,a,0.332
7,5,1,d,0.444
13,4,1,a,0.407
6,8,4,b,0.138
7,8,3,d,0.156
20,8,3,a,0.210
6,5,4,d,0.400
1,10,4,d,0.952
3,8,2,c,0.416
6,4,4,a,0.872
10,10,1,d,0.623
13,2,2,b,0.320
3,3,2,b,0.773
18,6,1,d,0.708
16,4,4,b,0.896
5,8,4,d,0.257
11,4,4,b,0.103
18,4,2,a,0.979
11,9,5,d,0.209
10,1,2,a,0.900
14,4,3,a,0.246
4,10,2,a,0.676
4,5,4,d,0.930
20,9,3,b,0.536
1,10,4,a,0.183
5,7,4,a,0.374
3,3,1,a,0.177
14,7,4,c,0.685
13,4,3,c,0.234
20,5,3,a,0.796
16,10,1,b,0.583
9,2,5,a,0.843
15,3,1,d,0.068
1,3,3,c,0.057
11,7,5,b,0.208
13,4,4,a,0.123
11,5,3,d,0.548
8,2,2,c,0.191
20,5,3,b,0.915
2,10,5,b,0.371
18,10,4,a,0.463
1,4,1,a,0.634
7,2,2,d,0.879
2,4,2,d,0.120
5,3,5,b,0.706
11,3,4,b,0.559
20,1,2,d,0.026
2,5,4,b,0.017
4,9,3,c,0.658
12,7,3,b,0.969
9,1,1,b,0.620
17,8,1,c,0.610
10,5,4,a,0.140
12,2,4,b,0.680
10,2,3,b,0.856
12,7,5,d,0.499
7,8,2,c,0.802
5,5,3,a,0.033
14,2,3,c,0.297
14,4,4,b,0.248
16,8,2,c,0.026
4,4,5,b,0.043
15,2,3,b,0.639
19,1,5,b,0.983
8,5,4,b,0.217
9,7,3,b,0.101
15,10,2,b,0.584
15,3,4,d,0.595
15,3,5,d,0.172
17,4,5,b,0.226
12,7,3,c,0.217
19,3,4,a,0.576
18,2,4,c,0.808
7,2,4,c,0.971
17,1,2,b,0.221
19,7,2,c,0.455
9,3,3,d,0.471
19,3,4,d,0.858
7,7,1,b,0.632
4,3,1,c,0.811
8,5,3,a,0.058
15,1,3,a,0.327
17,8,3,a,0.297
20,7,2,b,0.251
3,7,5,d,0.142
19,6,5,b,0.477
8,9,3,d,0.907
15,5,5,c,0.981
5,6,4,a,0.978
15,6,3,b,0.101
13,5,5,a,0.937
10,3,5,c,0.291
2,1,2,b,0.908
2,7,5,d,0.938
18,1,4,d,0.192
2,5,3,a,0.705
6,8,4,d,0.415
19,2,3,d,0.733
14,4,1,b,0.804
19,3,5,d,0.013
1,10,5,c,0.980
12,9,4,d,0.074
16,6,4,c,0.316
9,1,2,c,0.394
16,2,3,d,0.203
2,10,5,a,0.854
20,5,4,b,0.288
5,3,3,c,0.984
7,4,5,c,0.279
2,2,5,d,0.461
17,10,1,a,0.666
11,6,4,a,0.763
15,7,5,d,0.346
9,1,2,b,0.205
18,8,2,d,0.036
17,4,2,a,0.367
18,2,4,d,0.649
11,2,5,a,0.437
11,6,1,c,0.255
13,9,1,c,0.834
6,7,1,d,0.320
20,7,4,d,0.403
9,10,2,b,0.178
3,9,2,c,0.851
1,7,5,b,0.944
8,1,2,d,0.137
5,1,1,c,0.595
15,1,4,b,0.157
3,5,1,d,0.254
3,3,1,b,0.859
7,1,4,d,0.500
10,8,5,b,0.596
20,1,3,c,0.599
6,4,2,d,0.080
4,9,1,a,0.315
2,3,3,b,0.011
4,6,5,d,0.930
17,1,5,b,0.374
20,2,1,c,0.426
13,5,5,b,0.555
1,10,4,c,0.457
13,6,1,a,0.119
18,4,3,b,0.054
5,10,1,c,0.737
4,6,1,b,0.388
3,2,4,b,0.025
13,1,5,d,0.819
16,10,5,d,0.952
11,6,4,b,0.203
14,10,1,d,0.441
12,10,3,c,0.847
2,9,5,d,0.442
3,6,4,a,0.852
13,6,3,a,0.758
6,5,1,a,0.066
17,2,4,c,0.718
1,7,1,c,0.170
17,1,3,c,0.360
2,2,5,d,0.402
14,1,1,b,0.910
1,6,3,c,0.103
2,8,2,d,0.935
4,6,3,a,0.350
20,6,3,c,0.135
1,2,1,c,0.108
2,1,1,b,0.341
16,10,5,c,0.539
3,4,1,a,0.718
4,4,3,b,0.452
6,3,1,c,0.104
3,4,4,c,0.791
18,5,2,b,0.073
9,9,4,d,0.023
8,1,1,c,0.298
14,5,2,b,0.916
14,1,2,b,0.988
4,1,1,c,0.310
11,1,4,d,0.455
6,7,4,c,0.630
3,5,3,b,0.834
5,9,1,b,0.358
17,4,3,a,0.837
12,7,4,c,0.953
19,3,1,a,0.234
10,8,1,d,0.183
6,4,4,b,0.792
10,2,5,b,0.557
17,3,3,c,0.272
7,9,4,d,0.104
9,6,2,b,0.160
4,7,2,a,0.115
6,8,3,d,0.595
14,2,2,d,0.044
10,2,1,d,0.344
20,5,5,a,0.088
11,5,3,b,0.406
13,8,3,a,0.981
6,8,3,b,0.492
7,4,3,b,0.433
2,7,3,a,0.225
19,4,5,c,0.853
20,8,4,d,0.365
8,4,1,a,0.196
16,8,2,b,0.814
7,8,3,b,0.457
15,8,1,b,0.918
19,2,4,c,0.090
15,7,1,d,0.650
9,2,4,c,0.036
13,4,2,c,0.494
9,8,5,a,0.717
13,2,2,c,0.947
14,5,4,d,0.188
15,8,4,d,0.195
1,9,4,b,0.832
20,1,3,c,0.713
19,8,2,d,0.618
15,10,2,b,0.653
14,2,3,c,0.527
18,6,5,b,0.923
13,4,3,d,0.793
9,9,5,d,0.377
12,1,4,d,0.921
9,1,3,b,0.547
12,8,3,b,0.507
13,5,5,a,0.638
15,4,3,c,0.640
9,3,4,b,0.333
5,8,4,a,0.230
9,2,2,a,0.469
5,9,2,b,0.260
14,9,4,b,0.494
16,7,3,c,0.908
6,9,1,a,0.128
16,4,3,a,0.432
1,9,1,a,0.479
11,5,2,b,0.114
18,5,1,d,0.283
16,9,3,c,0.084
3,7,2,d,0.668
7,4,4,d,0.588
11,10,3,b,0.282
5,6,2,d,0.522
17,5,5,c,0.104
17,10,4,d,0.388
16,10,1,c,0.767
12,10,1,b,0.816
10,4,5,b,0.967
10,2,2,c,0.314
2,3,5,c,0.472
9,8,1,b,0.053
17,4,4,d,0.065
4,10,1,a,0.132
10,3,1,d,0.643
16,10,3,d,0.911
10,7,5,b,0.207
10,7,1,a,0.261
17,8,3,a,0.538
8,5,1,d,0.623
3,3,1,d,0.306
4,9,3,a,0.257
14,4,1,b,0.603
3,7,1,a,0.824
9,6,5,c,0.932
5,4,3,d,0.384
4,4,1,a,0.026
18,4,1,c,0.143
1,6,4,c,0.856
13,2,4,d,0.324
15,9,3,b,0.967
15,3,2,a,0.720
8,10,3,b,0.057
17,10,2,a,0.244
5,4,3,a,0.546
8,4,5,a,0.327
19,1,1,b,0.026
4,1,1,a,0.385
20,3,1,d,0.124
13,2,5,a,0.319
17,6,5,d,0.015
5,9,1,c,0.051
11,3,3,c,0.081
7,7,3,a,0.198
10,9,1,b,0.083
5,4,3,c,0.464
20,9,5,d,0.555
11,7,1,b,0.958
4,10,3,a,0.572
20,5,4,a,0.692
6,7,2,d,0.399
14,8,3,a,0.827
18,8,2,a,0.104
4,5,3,d,0.360
16,8,3,b,0.789
15,6,1,a,0.387
10,6,5,d,0.012
5,4,1,a,0.351
7,7,4,a,0.764
11,7,1,b,0.079
19,4,4,b,0.268
17,6,5,d,0.287
7,4,5,d,0.726
20,7,2,d,0.922
11,9,4,c,0.561
1,10,3,a,0.929
2,5,3,b,0.895
13,3,2,d,0.825
3,2,4,b,0.758
13,3,2,a,0.605
15,6,2,a,0.907
10,1,4,b,0.826
2,2,3,d,0.189
2,4,1,a,0.335
20,9,5,a,0.693
7,4,3,d,0.560
14,1,5,d,0.305
13,3,4,c,0.067
12,2,4,c,0.642
7,7,5,b,0.266
12,9,2,d,0.098
3,3,3,d,0.726
2,7,2,c,0.653
8,6,5,d,0.055
19,1,1,b,0.563
2,5,3,d,0.575
9,10,5,c,0.764
2,5,2,d,0.092
4,5,5,a,0.596
15,4,5,b,0.705
1,6,4,b,0.358
5,6,5,b,0.856
5,3,4,c,0.862
19,10,2,c,0.182
3,8,3,b,0.112
1,9,3,c,0.747
17,1,2,d,0.727
7,9,1,b,0.962
13,3,5,a,0.773
6,9,2,a,0.653
19,4,3,c,0.605
5,3,2,c,0.205
17,6,1,c,0.965
14,1,3,a,0.775
15,3,2,c,0.219
19,5,4,b,0.941
5,4,1,c,0.293
15,10,2,c,0.622
15,6,1,d,0.979
12,6,2,b,0.076
15,3,3,d,0.134
15,3,4,b,0.500
3,9,2,b,0.879
4,7,1,a,0.109
17,8,2,b,0.967
14,3,5,c,0.147
2,1,1,a,0.207
14,5,1,d,0.699
2,8,1,c,0.594
12,1,1,b,0.955
2,1,3,a,0.269
1,5,4,c,0.080
7,4,5,b,0.706
8,10,1,b,0.397
17,2,1,b,0.922
5,4,1,a,0.515
11,10,5,a,0.802
11,6,4,c,0.395
11,4,3,c,0.261
13,1,2,a,0.391
7,8,4,a,0.065
12,3,2,b,0.677
17,6,3,d,0.153
14,5,5,c,0.282
4,3,4,a,0.443
17,5,4,b,0.982
17,1,4,a,0.542
6,1,4,b,0.377
8,7,1,a,0.287
9,5,2,c,0.767
13,9,5,a,0.081
4,1,4,b,0.831
9,6,5,a,0.557
5,3,4,d,0.611
12,1,1,c,0.789
14,6,1,d,0.463
20,3,2,b,0.330
1,2,4,d,0.133
20,7,3,c,0.171
4,7,5,a,0.826
7,5,3,d,0.881
13,7,1,d,0.108
3,9,5,d,0.857
4,8,2,d,0.213
19,10,3,d,0.530
5,3,3,d,0.022
9,7,1,c,0.900
12,2,5,b,0.685
8,2,3,a,0.940
6,6,3,a,0.534
19,2,5,c,0.092
14,1,4,d,0.226
10,5,2,a,0.352
7,4,1,c,0.219
9,10,3,d,0.239
17,9,2,d,0.383
6,2,4,c,0.216
8,2,5,d,0.712
6,7,2,d,0.148
18,8,4,a,0.177
15,4,4,b,0.153
15,3,1,b,0.533
17,9,4,a,0.796
9,1,3,c,0.782
6,10,5,a,0.880
17,6,3,a,0.806
11,3,1,d,0.597
1,8,3,b,0.219
1,9,1,c,0.608
15,6,2,d,0.879
10,9,2,b,0.846
13,5,1,c,0.632
14,5,2,b,0.097
7,5,3,a,0.906
5,6,1,a,0.158
5,7,1,d,0.897
15,1,1,a,0.527
17,8,1,c,0.688
14,2,5,c,0.966
19,7,1,c,0.041
7,4,4,b,0.519
14,3,4,a,0.287
1,8,4,c,0.295
13,8,3,c,0.193
12,6,4,a,0.719
19,5,3,b,0.487
3,2,1,b,0.169
6,6,3,c,0.968
19,4,3,d,0.859
15,9,5,a,0.403
10,7,2,a,0.480
19,9,2,a,0.017
8,7,4,a,0.691
3,3,5,b,0.843
19,9,2,d,0.733
3,4,2,c,0.143
20,6,1,b,0.698
4,1,3,b,0.865
5,9,5,a,0.499
12,9,1,a,0.107
1,6,4,c,0.667
15,8,3,c,0.569
19,8,1,b,0.362
2,7,2,a,0.201
9,9,5,a,0.739
10,9,1,b,0.294
13,5,3,a,0.692
12,2,5,a,0.664
18,7,1,b,0.602
8,3,5,a,0.091
4,6,2,b,0.044
5,6,4,c,0.864
4,2,5,b,0.067
7,3,3,b,0.392
4,7,5,c,0.785
3,2,3,c,0.231
20,5,5,d,0.216
5,4,3,d,0.751
4,6,2,b,0.767
4,10,3,d,0.620
3,1,2,d,0.827
7,5,2,d,0.382
19,1,1,b,0.428
2,1,3,a,0.528
5,8,1,d,0.253
17,2,3,b,0.089
16,3,3,c,0.150
12,7,1,a,0.897
4,4,4,d,0.173
17,10,4,a,0.974
4,7,1,c,0.886
2,10,5,a,0.165
10,3,1,b,0.067
18,1,4,b,0.419
14,10,5,c,0.541
18,2,3,a,0.818
9,1,1,b,0.541
8,1,2,a,0.263
6,1,1,b,0.319
5,8,5,b,0.341
8,5,1,b,0.769
19,1,4,b,0.815
2,1,4,b,0.374
6,5,3,d,0.410
15,1,2,c,0.979
17,9,3,b,0.132
1,4,4,d,0.786
10,9,5,b,0.969
13,6,3,d,0.050
2,3,5,c,0.502
7,9,1,a,0.804
4,9,2,b,0.777
3,10,1,c,0.750
18,10,5,d,0.166
20,9,5,b,0.163
10,4,4,d,0.419
15,10,1,c,0.319
20,3,4,c,0.349
15,1,3,c,0.815
7,6,3,c,0.749
3,5,4,b,0.546
5,3,5,b,0.018
14,9,4,b,0.052
10,1,4,d,0.687
6,3,2,d,0.686
1,1,4,c,0.895
19,5,2,d,0.879
10,9,2,b,0.815
12,7,1,c,0.263
17,10,3,d,0.134
1,9,4,c,0.919
20,1,3,c,0.350
3,2,4,c,0.401
13,6,1,c,0.137
6,9,3,d,0.221
1,10,5,b,0.236
2,9,2,c,0.359
8,7,4,c,0.240
18,4,1,c,0.424
16,6,5,d,0.689
7,8,5,a,0.118
7,8,1,a,0.138
15,10,4,b,0.424
6,5,1,b,0.677
17,6,4,b,0.401
1,6,5,d,0.282
7,8,5,d,0.897
7,8,2,b,0.246
9,10,1,b,0.523
2,2,5,d,0.083
6,7,4,a,0.838
4,3,4,a,0.138
18,10,4,d,0.271
9,10,1,c,0.492
13,10,5,c,0.581
2,2,3,d,0.122
10,9,4,d,0.614
19,1,1,d,0.113
12,2,4,b,0.181
3,7,5,d,0.259
11,6,5,a,0.325
5,1,4,a,0.474
16,9,3,c,0.655
4,7,1,a,0.922
6,4,4,d,0.495
12,1,2,a,0.478
11,10,3,c,0.380
6,5,5,d,0.095
13,3,4,a,0.428
2,3,2,b,0.897
11,8,3,d,0.773
15,5,4,b,0.885
14,8,5,d,0.832
17,1,5,d,0.665
3,2,1,b,0.979
13,10,3,b,0.602
17,5,5,c,0.526
14,5,5,d,0.459
1,6,3,d,0.595
3,4,3,a,0.555
10,8,2,d,0.218
10,5,5,c,0.757
17,9,3,d,0.731
5,4,5,d,0.086
1,4,3,a,0.697
10,2,1,d,0.341
15,10,4,a,0.370
20,10,1,d,0.531
17,10,5,b,0.651
14,3,1,a,0.508
12,10,2,a,0.770
7,3,5,d,0.867
7,9,3,c,0.532
8,7,2,b,0.512
5,2,2,d,0.550
17,9,1,b,0.621
6,2,4,c,0.110
5,5,4,b,0.620
7,5,1,c,0.467
7,7,2,c,0.235
13,8,4,b,0.926
5,4,4,c,0.043
3,9,1,c,0.611
8,1,2,d,0.294
17,1,4,a,0.583
2,4,1,c,0.680
14,4,4,c,0.795
16,10,5,c,0.023
10,1,3,b,0.778
3,8,3,c,0.276
4,2,4,a,0.960
13,2,1,b,0.787
18,2,1,d,0.063
16,8,4,d,0.866
15,1,1,c,0.925
3,8,1,b,0.400
8,2,1,d,0.217
18,9,1,a,0.868
17,6,1,b,0.391
18,6,4,a,0.786
12,6,2,b,0.846
3,10,3,b,0.894
5,8,2,c,0.350
2,5,5,b,0.753
6,6,2,c,0.591
4,6,5,a,0.046
1,4,3,c,0.499
3,1,5,d,0.422
9,7,4,c,0.423
1,4,4,d,0.651
4,10,4,c,0.851
13,1,3,d,0.755
1,2,2,c,0.034
10,5,4,a,0.862
8,1,2,d,0.536
5,8,1,a,0.541
3,10,5,d,0.065
13,2,5,a,0.799
13,3,4,b,0.029
6,8,3,c,0.455
8,5,5,a,0.056
12,6,2,d,0.498
8,4,4,c,0.575
17,4,3,a,0.577
11,2,4,b,0.195
5,4,2,b,0.125
16,10,2,a,0.340
2,6,1,b,0.927
7,5,2,a,0.076
4,2,4,d,0.281
12,8,3,d,0.595
2,5,1,d,0.181
18,8,1,a,0.873
20,2,4,c,0.813
12,10,3,d,0.217
15,1,5,d,0.473
19,2,1,c,0.313
14,1,2,b,0.545
5,5,2,d,0.377
19,10,5,c,0.402
3,2,5,c,0.199
9,1,3,d,0.749
3,10,4,b,0.797
17,8,2,d,0.265
1,4,4,d,0.898
11,1,3,d,0.141
10,7,5,b,0.986
11,5,5,b,0.051
7,2,2,a,0.851
20,4,2,b,0.387
9,10,2,b,0.964
12,5,5,b,0.356
4,6,4,c,0.378
10,9,3,d,0.768
20,4,2,d,0.210
14,3,1,a,0.413
1,6,4,a,0.844
12,9,5,c,0.759
3,3,4,a,0.256
13,3,4,d,0.775
7,1,4,c,0.598
13,2,4,a,0.186
4,1,5,d,0.763
17,8,2,c,0.560
18,7,1,d,0.503
19,1,5,d,0.412
15,10,5,b,0.331
16,3,3,c,0.571
6,8,3,a,0.793
15,10,5,b,0.474
3,2,3,a,0.908
20,7,3,c,0.035
10,10,2,c,0.206
7,5,3,b,0.853
6,5,2,b,0.015
15,2,2,c,0.970
2,5,2,a,0.554
7,7,3,d,0.922
11,4,2,c,0.801
2,10,5,c,0.987
15,2,5,c,0.836
19,5,1,c,0.538
12,9,1,c,0.355
11,5,3,a,0.602
7,7,1,c,0.176
